,id,name,nameDisplay,abv,glasswareId,styleId,isOrganic,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,glass.id,glass.name,glass.createDate,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,description,ibu,originalGravity,availableId,foodPairings,available.id,available.name,available.description,year,style.ogMax,srmId,srm.id,srm.name,srm.hex,servingTemperature,servingTemperatureDisplay,style.category.description,style.category.updateDate
130,nAr0mR,Belgian Blond,Belgian Blond,6.7,,63.0,N,N,verified,Verified,2015-04-06 17:17:07,2018-11-02 02:15:14,,,,,,,,,,63.0,5.0,5.0,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Strong Ale,Belgian Pale Strong,"Belgian pale strong ales are pale to golden in color with relatively light body for a beer of its alcoholic strength. Often brewed with light colored Belgian ""candy"" sugar, these beers are well attenuated. The perception of hop bitterness is medium-low to medium -high, with hop flavor and aroma also in this range. These beers are highly attenuated and have a perceptively deceiving high alcoholic character-being light to medium bodied rather than full bodied. The intensity of malt character should be low to medium, often surviving along with a complex fruitiness. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,4,10,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:16,"Golden Ale brewed with Belgian malts, candi sugar and Czech Saaz hops. This refreshing beer has a dry finish alongside fruity and spicy esters derived from the yeast.",20,1.067,,,,,,,,,,,,,,,
131,DQW0WA,Belgian Crush,Belgian Crush,5.7,,62.0,N,N,verified,Verified,2012-10-10 23:41:26,2018-11-02 02:15:14,,,,,,,,,,62.0,5.0,5.0,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Ale,Belgian Pale,"Belgian-style pale ales are characterized by low but noticeable hop bitterness, flavor, and aroma. Light to medium body and low malt aroma are typical. They are light amber to deep amber in color. Noble-type hops are commonly used. Low to medium fruity esters are evident in aroma and flavor. Low levels of phenolic spiciness from yeast byproducts may be perceived. Low caramel or toasted malt flavor is okay. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",20,30,4,6,6,12,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:06,Balanced Amber Belgian Pale Ale,,,,,,,,,,,,,,,,,
132,hDKDfU,Belgian Style Pale Ale - Mountain Series,Belgian Style Pale Ale - Mountain Series,,,62.0,N,N,verified,Verified,2015-10-31 23:54:01,2018-11-02 02:15:14,,,,,,,,,,62.0,5.0,5.0,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Ale,Belgian Pale,"Belgian-style pale ales are characterized by low but noticeable hop bitterness, flavor, and aroma. Light to medium body and low malt aroma are typical. They are light amber to deep amber in color. Noble-type hops are commonly used. Low to medium fruity esters are evident in aroma and flavor. Low levels of phenolic spiciness from yeast byproducts may be perceived. Low caramel or toasted malt flavor is okay. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",20,30,4,6,6,12,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:06,,,,2.0,,2.0,Limited,Limited availability.,,,,,,,,,,
133,X8qNCS,Belgian-Style Blonde IPA,Belgian-Style Blonde IPA,7.5,,61.0,N,N,verified,Verified,2013-02-19 11:44:59,2018-11-02 02:15:14,https://brewerydb-images.s3.amazonaws.com/beer/X8qNCS/upload_Tghvc3-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/X8qNCS/upload_Tghvc3-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/X8qNCS/upload_Tghvc3-large.png,https://brewerydb-images.s3.amazonaws.com/beer/X8qNCS/upload_Tghvc3-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/X8qNCS/upload_Tghvc3-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/X8qNCS/upload_Tghvc3-contentAwareLarge.png,,,,61.0,5.0,5.0,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Blonde Ale,Belgian Blonde,"Belgian-style blond ales are characterized by low yet evident hop bitterness, flavor, and sometimes aroma. Light to medium body and low malt aroma with a sweet, spiced and a low to medium fruity-ester character orchestrated in flavor and aroma. Sugar may be used to lighten perceived body. They are blonde to golden in color. Noble-type hops are commonly used. Low levels of phenolic spiciness from yeast byproducts may be perceived. Diacetyl should not be perceived. Acidic character should not be present. Chill haze is allowable at cold temperatures.",15,30,6,7.8,4,7,1.054,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:01,,,,,,,,,,,,,,,,,,
134,17KZDP,Bella Czech Pils,Bella Czech Pils,5.3,,106.0,N,N,verified,Verified,2017-01-25 20:13:26,2018-11-02 02:15:14,,,,,,,,,,106.0,10.0,10.0,International Styles,2012-03-21 20:06:46,International-Style Pilsener,International Pilsener,"International Pilseners are straw/golden in color and are well attenuated. This medium-bodied beer is often brewed with rice, corn, wheat, or other grain or sugar adjuncts making up part of the mash. Hop bitterness is low to medium. Hop flavor and aroma are low. Residual malt sweetness is low--it does not predominate but may be perceived. Fruity esters and diacetyl should not be perceived. Very low levels of sweet corn-like dimethylsulfide (DMS) character, if perceived, are acceptable. There should be no chill haze.",17,30,4.5,5.3,3,4,1.044,1.008,1.01,2012-03-21 20:06:46,2015-04-07 15:42:11,A traditional Czech Pils brewed with all German & Czech hops. The combination of European hops & malts create a noble hop flavor with a spiciness of Czech Saaz.,35,,,,,,,,,,,,,,,,
135,8nUyoD,Belle Meade Bourbon Sour,Belle Meade Bourbon Sour,,,136.0,Y,N,verified,Verified,2015-07-14 20:57:31,2018-11-02 02:15:14,,,,,,,,,,136.0,11.0,11.0,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Sour Beer,BBL Aged Sour,"A wood- or barrel-aged sour beer is any lager, ale or hybrid beer, either a traditional style or a unique experimental beer that has been aged for a period of time in a wooden barrel or in contact with wood and has developed a bacterial induced natural acidity. This beer is aged in wood with the intention of introducing the micro flora present in the wood. Sometimes wood aging is intended to impart the particularly unique character of the wood, but wood-aged is not necessarily synonymous with imparting wood-flavors. Wood character can be characterized as a complex blend of vanillin and unique wood character. Wood-derived character can also be characterized by flavors of the product that was in the barrel during prior use. These wood-derived flavors, if present in this style, can be very low in character and barely perceived or evident or assertive as wood-derived flavors. Any degree of woodderived flavors should be in balance with other beer character. Fruit and herb/spiced versions may take on the hue, flavors and aromas of added ingredients.  Usually bacteria and ""wild"" yeasts fermentation contributes complex esters and results in a dry to very dry beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of acidity, complex esters, and new beer with wood and/or barrel flavors. Beers in this style may or may not have Brettanomyces character.  Brewers when entering this category should specify type of barrel used and any other special treatment or ingredients used. Competition managers may create style subcategories to differentiate between high alcohol and low alcohol beers and very dark and lighter colored beer as well as for fruit beers and non-fruit beers. Competitions may develop guidelines requesting brewers to specify what kind of wood (new or used oak, other wood varieties). The brewer may be asked to explain the special nature (wood used, base beer style(s) and achieved character) of the beer.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:56,,,,,,,,,,,,,,,,,,
136,O3nY32,Bernie Weisse,Bernie Weisse,3.2,,46.0,N,N,verified,Verified,2017-07-28 13:41:43,2018-11-02 02:15:14,,,,,,,,,,46.0,4.0,4.0,German Origin Ales,2012-03-21 20:06:46,Berliner-Style Weisse (Wheat),Berlinerweisse,"This is very pale in color and the lightest of all the German wheat beers. The unique combination of yeast and lactic acid bacteria fermentation yields a beer that is acidic, highly attenuated, and very light bodied. The carbonation of a Berliner Weisse is high, and hop rates are very low. Clarity may be hazy or cloudy from yeast or chill haze. Hop character should not be perceived. Fruity esters will be evident. No diacetyl should be perceived.",3,6,2.8,3.4,2,4,1.028,1.004,1.006,2012-03-21 20:06:46,2015-04-07 15:29:14,"A slightly sour and forward-thinking ale.This beer gets it unique character from Lactobacillus. Served straight-up, or with your choice of raspberry, blueberry, or woodruff syrup. Tart, crisp, and refreshing. For an inside look at our Bernie Weisse canning run, check out Short-Fills NO. 9",5,1.031,,,,,,,,,,,,,,,
137,QtA7tb,Betsy's Revenge,Betsy's Revenge,4.5,,121.0,Y,N,verified,Verified,2015-07-14 20:51:50,2018-11-02 02:15:14,,,,,,,,,,121.0,11.0,11.0,Hybrid/mixed Beer,2012-03-21 20:06:46,Pumpkin Beer,Pumpkin Beer,"Pumpkin beers are any beers using pumpkins (Cucurbito pepo) as an adjunct in either mash, kettle, primary or secondary fermentation, providing obvious (ranging from subtle to intense), yet harmonious, qualities. Pumpkin qualities should not be overpowered by hop character. These may or may not be spiced or flavored with other things. A statement by the brewer explaining the nature of the beer is essential for fair assessment in competitions. If this beer is a classic style with pumpkin, the brewer should also specify the classic style.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:28,,50,,,,,,,,,,,,,,,,
138,pSVIAZ,BFD - Beer For Drinking,BFD - Beer For Drinking,4.8,,36.0,N,N,verified,Verified,2018-04-24 19:55:10,2018-11-02 02:15:14,,,,,,,,,,36.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,Golden or Blonde Ale,Blonde,"Golden or Blonde ales are straw to golden blonde in color. They have a crisp, dry palate, light to medium body, and light malt sweetness. Low to medium hop aroma may be present but does not dominate. Bitterness is low to medium. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived. Chill haze should be absent.",15,25,4,5,3,7,1.045,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:27:26,"There are days when you want a beer—just a beer—that hits all the right spots. Well, this is it. No snifters required, no special occasions—just an unfussy, uncomplicated, hoppy blonde ale brewed to fit in no matter where it goes. This isn’t beer for collecting, this is beer for drinking.

YEAST  Ale yeast
BITTERING HOPS  Simcoe
FINISHING HOPS  Polaris, Comet
MALTS  Two-row Pale, Acidulated, Munich, Pilsner",33,,,"CUISINE  Cured ham and Gruyere Croque Madame, Wood grilled Mahi, Portobello Mushroom and Spring Pea Pasta
CHEESE  Aged Gruyere Cheese
DESSERT  Rhubarb Compote",,,,,,,,,,,,,
139,zqS7ze,Bigfoot,Bigfoot (1997),9.6,,34.0,N,N,verified,Verified,2012-01-03 02:42:49,2018-11-02 02:15:14,,,,,,,,,,34.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,,,2.0,,2.0,Limited,Limited availability.,1997.0,,,,,,,,,
140,ETtkIW,Bigfoot,Bigfoot (1996),9.6,,34.0,N,N,verified,Verified,2012-01-03 02:42:49,2018-11-02 02:15:14,,,,,,,,,,34.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,,,2.0,,2.0,Limited,Limited availability.,1996.0,,25.0,25.0,25,7B1A00,,,,
141,eyYenc,Bigfoot,Bigfoot (1998),9.6,,34.0,N,N,verified,Verified,2012-01-03 02:42:49,2018-11-02 02:15:14,,,,,,,,,,34.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,,,2.0,,2.0,Limited,Limited availability.,1998.0,,,,,,,,,
142,ygAzC9,Bigfoot,Bigfoot (2001),9.6,5.0,34.0,N,N,verified,Verified,2012-01-03 02:42:49,2018-11-02 02:15:14,,,,,,,5.0,Pint,2012-01-03 02:41:33,34.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,"Our award-winning barleywine boasts a dense, fruity bouquet, an intense flavor palate and a deep reddish-brown color. Its big maltiness is superbly balanced by a wonderfully bittersweet hoppiness.


Malts: Two Row Pale & English Carmel
Yeast: Ale Yeast
Bittering Hops: Chinook
Finishing Hops: Cascade & Centennial
Dry Hops: Cascade, Centennial & Chinook",90,,4.0,,4.0,Seasonal,"Available at the same time of year, every year.",2001.0,,,,,,,,,
143,aztnLa,Bigfoot,Bigfoot (2002),9.6,5.0,34.0,N,N,verified,Verified,2012-01-03 02:42:49,2018-11-02 02:15:14,,,,,,,5.0,Pint,2012-01-03 02:41:33,34.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,"Our award-winning barleywine boasts a dense, fruity bouquet, an intense flavor palate and a deep reddish-brown color. Its big maltiness is superbly balanced by a wonderfully bittersweet hoppiness.


Malts: Two Row Pale & English Carmel
Yeast: Ale Yeast
Bittering Hops: Chinook
Finishing Hops: Cascade & Centennial
Dry Hops: Cascade, Centennial & Chinook",90,,2.0,,2.0,Limited,Limited availability.,2002.0,,,,,,,,,
144,DJcbV1,Bigfoot,Bigfoot (2003),9.6,5.0,34.0,N,N,verified,Verified,2012-01-03 02:42:49,2018-11-02 02:15:14,,,,,,,5.0,Pint,2012-01-03 02:41:33,34.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,"Our award-winning barleywine boasts a dense, fruity bouquet, an intense flavor palate and a deep reddish-brown color. Its big maltiness is superbly balanced by a wonderfully bittersweet hoppiness.


Malts: Two Row Pale & English Carmel
Yeast: Ale Yeast
Bittering Hops: Chinook
Finishing Hops: Cascade & Centennial
Dry Hops: Cascade, Centennial & Chinook",90,,2.0,,2.0,Limited,Limited availability.,2003.0,,,,,,,,,
145,pdLPeS,Bigfoot,Bigfoot (2004),9.6,5.0,34.0,N,N,verified,Verified,2012-01-03 02:42:49,2018-11-02 02:15:14,,,,,,,5.0,Pint,2012-01-03 02:41:33,34.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,"Our award-winning barleywine boasts a dense, fruity bouquet, an intense flavor palate and a deep reddish-brown color. Its big maltiness is superbly balanced by a wonderfully bittersweet hoppiness.


Malts: Two Row Pale & English Carmel
Yeast: Ale Yeast
Bittering Hops: Chinook
Finishing Hops: Cascade & Centennial
Dry Hops: Cascade, Centennial & Chinook",90,,2.0,,2.0,Limited,Limited availability.,2004.0,,,,,,,,,
146,Rx4Dnt,Bigfoot,Bigfoot (2005),9.6,5.0,34.0,N,N,verified,Verified,2012-01-03 02:42:49,2018-11-02 02:15:14,,,,,,,5.0,Pint,2012-01-03 02:41:33,34.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,"Our award-winning barleywine boasts a dense, fruity bouquet, an intense flavor palate and a deep reddish-brown color. Its big maltiness is superbly balanced by a wonderfully bittersweet hoppiness.


Malts: Two Row Pale & English Carmel
Yeast: Ale Yeast
Bittering Hops: Chinook
Finishing Hops: Cascade & Centennial
Dry Hops: Cascade, Centennial & Chinook",90,,2.0,,2.0,Limited,Limited availability.,2005.0,,,,,,,,,
147,ysyw2P,Bigfoot,Bigfoot (2015),9.6,,34.0,N,N,verified,Verified,2016-04-19 20:15:20,2018-11-02 02:15:14,,,,,,,,,,34.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,"Our cult-classic beast of a barleywine.

Bigfoot is a beast of a beer, brimming with bold flavors of bittersweet malt and heaps of aggressive whole-cone Pacific Northwest hops. First introduced in the winter of 1983, Bigfoot is a cult-classic beer brewed in the barleywine style, meaning a strong, robust, bruiser of a beer with the refined intensity of a wine. Bigfoot is prized by beer collectors for its supreme cellarability. Under the proper conditions, it can age like a fine wine, developing new flavors and character as it matures in the bottle. Each new release or “expedition” is vintage dated. Collect your own and see the flavors develop and progress.",90,1.096,,"CUISINE  Bread Pudding, Mission Figs, Medjool Dates
CHEESE  Pungent Blue Cheese",,,,2015.0,,,,,,,,,
148,4sdq0d,Bigfoot,Bigfoot (2007),9.6,,34.0,N,N,verified,Verified,2016-05-22 13:50:16,2018-11-02 02:15:14,,,,,,,,,,34.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,"Bigfoot is a beast of a beer, brimming with bold flavors of bittersweet malt and heaps of aggressive whole-cone Pacific Northwest hops. First introduced in the winter of 1983, Bigfoot is a cult-classic beer brewed in the barleywine style, meaning a strong, robust, bruiser of a beer with the refined intensity of a wine. Bigfoot is prized by beer collectors for its supreme cellarability. Under the proper conditions, it can age like a fine wine, developing new flavors and character as it matures in the bottle. Each new release or “expedition” is vintage dated. Collect your own and see the flavors develop and progress.",90,,2.0,,2.0,Limited,Limited availability.,2007.0,,,,,,,,,
149,1UhodH,Bigfoot,Bigfoot (2017),,,34.0,N,N,verified,Verified,2017-04-16 02:37:40,2018-11-02 02:15:14,,,,,,,,,,34.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,"Bigfoot is a beast of a beer, brimming with bold flavors of bittersweet malt and heaps of aggressive whole-cone Pacific Northwest hops. First introduced in the winter of 1983, Bigfoot is a cult-classic beer brewed in the barleywine style, meaning a strong, robust, bruiser of a beer with the refined intensity of a wine. Bigfoot is prized by beer collectors for its supreme cellarability. Under the proper conditions, it can age like a fine wine, developing new flavors and character as it matures in the bottle. Each new release or “expedition” is vintage dated. Collect your own and see the flavors develop and progress.",,,,,,,,2017.0,,,,,,,,,
150,IphbdN,Bigfoot,Bigfoot (2006),9.6,,34.0,N,N,verified,Verified,2012-01-03 02:42:49,2018-11-02 02:15:14,,,,,,,,,,34.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,,,2.0,,2.0,Limited,Limited availability.,2006.0,,,,,,,,,
151,8PsCAg,Bigfoot,Bigfoot (2014),9.6,,34.0,N,N,verified,Verified,2016-01-22 17:01:48,2018-11-02 02:15:14,,,,,,,,,,34.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,,,,,,,,2014.0,,,,,,,,,
152,ER2JSs,Bigfoot,Bigfoot (1999),9.6,,34.0,N,N,verified,Verified,2012-01-03 02:42:49,2018-11-02 02:15:14,,,,,,,,,,34.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,,,2.0,,2.0,Limited,Limited availability.,1999.0,,,,,,,,,
