,wine,wine_id,wine_slug,appellation,appellation_slug,color,wine_type,regions,country,classification,vintage,date,is_primeurs,score,confidence_index,journalist_count,lwin,lwin_11
1028,"Chateau D'Issan, Blason D'Issan, Margaux",12596,chateau-dissan-blason-dissan-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.75,B,6,1007130.0,10071302011.0
1029,"Chateau St Jean De Lavaud, Lalande De Pomerol",40981,chateau-st-jean-de-lavaud-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2012,2018-03-29,False,85.75,C,5,,
1030,"Chateau Marojallia, Clos Margalaine, Margaux",39091,chateau-marojallia-clos-margalaine-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2007,2018-03-29,False,85.74,B+,5,,
1031,"Chateau Fayat, Pomerol",35649,chateau-fayat-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.74,C+,8,1177037.0,11770372011.0
1032,"Chateau Greysac, Medoc",36261,chateau-greysac-medoc,Medoc,medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2011,2018-03-29,False,85.74,B+,11,,
1033,"Chateau Hostens-Picant, Sainte-Foy-Bordeaux",36779,chateau-hostens-picant-sainte-foy-bordeaux,Sainte-Foy-Bordeaux,sainte-foy-bordeaux,Red,,['Bordeaux'],France,,2009,2018-03-29,False,85.73,A,5,,
1034,"Chateau Cantelys, Pessac Leognan",33012,chateau-cantelys-pessac-leognan,Pessac Leognan,pessac-leognan,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.73,B,5,,
1035,"Chateau Moulin Pey Labrie, Canon Fronsac",39606,chateau-moulin-pey-labrie-canon-fronsac,Canon Fronsac,canon-fronsac,Red,,['Bordeaux'],France,,2006,2018-03-29,False,85.73,C+,4,,
1036,"Chateau Pey La Tour, Reserve Du Chateau, Bordeaux Superieur",39931,chateau-pey-la-tour-reserve-du-chateau-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2014,2018-03-29,False,85.72,B,9,,
1037,"Chateau De Beauregard Ducourt, Bordeaux",33722,chateau-de-beauregard-ducourt-bordeaux,Bordeaux,bordeaux,Red,,['Bordeaux'],France,,2005,2018-03-29,False,85.72,A,3,,
1038,"Chateau Sergant, Lalande De Pomerol",40879,chateau-sergant-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.72,B,5,,
1039,"Chateau Hostens-Picant, Sainte-Foy-Bordeaux",36779,chateau-hostens-picant-sainte-foy-bordeaux,Sainte-Foy-Bordeaux,sainte-foy-bordeaux,Red,,['Bordeaux'],France,,2006,2018-03-29,False,85.72,B+,4,,
1040,"Vignobles Bessineau, Chateau Cote Montpezat, Cuvee Compostelle, Castillon Cotes De Bordeaux",33397,vignobles-bessineau-chateau-cote-montpezat-cuvee-compostelle-castillon-cotes-de-bordeaux,Castillon Cotes De Bordeaux,castillon-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2015,2018-03-29,False,85.71,B,4,,
1041,"Chateau Desmirail, Margaux",35197,chateau-desmirail-margaux,Margaux,margaux,Red,,['Bordeaux'],France,3eme Grand Cru classé en 1855,2006,2018-03-29,False,85.71,C+,7,1009349.0,10093492006.0
1042,"Chateau Greysac, Medoc",36261,chateau-greysac-medoc,Medoc,medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2008,2018-03-29,False,85.71,B,8,,
1043,"Jean Philippe Janoueix, Chateau Croix Mouton, Bordeaux Superieur",87870,jean-philippe-janoueix-chateau-croix-mouton-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2014,2018-03-29,False,85.7,B,7,1009062.0,10090622014.0
1044,"Chateau Ramafort, Medoc",40335,chateau-ramafort-medoc,Medoc,medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2008,2018-03-29,False,85.69,A+,3,,
1045,"Chateau Labegorce Margaux, Margaux",37834,chateau-labegorce-margaux-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2007,2018-03-29,False,85.69,B+,9,1011797.0,10117972007.0
1046,"Chateau Dauzac, La Bastide Dauzac, Margaux",33689,chateau-dauzac-la-bastide-dauzac-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.69,A,4,,
1047,"Chateau Ferrande, Graves",35665,chateau-ferrande-graves,Graves,graves,Red,,['Bordeaux'],France,,2004,2018-03-29,False,85.69,C+,6,,
1048,"Chateau Serilhan, Saint Estephe",40880,chateau-serilhan-saint-estephe,Saint Estephe,saint-estephe,Red,,['Bordeaux'],France,Cru Bourgeois,2007,2018-03-29,False,85.68,B,3,,
1049,"Clos Du Jaugueyron, Haut Medoc",43771,clos-du-jaugueyron-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.68,A+,3,,
1050,"Chateau La Bessane, Margaux",37030,chateau-la-bessane-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.68,A+,3,,
1051,"Chateau Lestage Simon, Haut Medoc",38778,chateau-lestage-simon-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2014,2018-03-29,False,85.68,C+,9,,
1052,"Chateau Saint Pierre De Corbian, Saint Estephe",41039,chateau-saint-pierre-de-corbian-saint-estephe,Saint Estephe,saint-estephe,Red,,['Bordeaux'],France,Cru Bourgeois,2013,2018-03-29,False,85.68,B,4,,
1053,"Chateau Peyrabon, Haut Medoc",39958,chateau-peyrabon-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2011,2018-03-29,False,85.67,A,5,,
1054,"Chateau Mazeyres, Pomerol",39246,chateau-mazeyres-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2008,2018-03-29,False,85.67,C,7,1013137.0,10131372008.0
1055,"Chateau Beaumont, Haut Medoc",32364,chateau-beaumont-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2007,2018-03-29,False,85.67,B+,4,1006364.0,10063642007.0
1056,"Chateau Rauzan Gassies, Margaux",40349,chateau-rauzan-gassies-margaux,Margaux,margaux,Red,,['Bordeaux'],France,2eme Grand Cru classé en 1855,2007,2018-03-29,False,85.66,B,8,1014596.0,10145962007.0
1057,"Chateau L'Enclos, Pomerol",36958,chateau-lenclos-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.66,B+,5,1009570.0,10095702013.0
1058,"Clos Vieux Taillefer, Pomerol",44123,clos-vieux-taillefer-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.66,B+,8,,
1059,"Chateau Haut Bertinerie, Blaye Cotes De Bordeaux",36395,chateau-haut-bertinerie-blaye-cotes-de-bordeaux,Blaye Cotes De Bordeaux,blaye-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.65,B+,3,,
1060,"Chateau Segur De Cabanac, Saint Estephe",40864,chateau-segur-de-cabanac-saint-estephe,Saint Estephe,saint-estephe,Red,,['Bordeaux'],France,,2012,2018-03-29,False,85.65,A+,4,,
1061,"Chateau Moulin Pey Labrie, Canon Fronsac",39606,chateau-moulin-pey-labrie-canon-fronsac,Canon Fronsac,canon-fronsac,Red,,['Bordeaux'],France,,2012,2018-03-29,False,85.65,C+,7,,
1062,"Chateau Villa Bel Air, Graves",41730,chateau-villa-bel-air-graves,Graves,graves,Red,,['Bordeaux'],France,,2006,2018-03-29,False,85.64,C,3,,
1063,"Chateau Grand Puy Ducasse, Pauillac",36163,chateau-grand-puy-ducasse-pauillac,Pauillac,pauillac,Red,,['Bordeaux'],France,5eme Grand Cru classé en 1855,2007,2018-03-29,False,85.64,B+,11,1010774.0,10107742007.0
1064,"Chateau Hostens-Picant, Lucullus Cuvee D'Exception, Sainte-Foy-Bordeaux",36778,chateau-hostens-picant-lucullus-cuvee-dexception-sainte-foy-bordeaux,Sainte-Foy-Bordeaux,sainte-foy-bordeaux,Red,,['Bordeaux'],France,,2012,2018-03-29,False,85.64,B,7,,
1065,"Chateau Peyrabon, Haut Medoc",39958,chateau-peyrabon-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2012,2018-03-29,False,85.63,B+,11,,
1066,"Chateau L'Ecuyer, Pomerol",36950,chateau-lecuyer-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.63,C+,4,,
1067,"Chateau De La Dauphine, Fronsac",34269,chateau-de-la-dauphine-fronsac,Fronsac,fronsac,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.62,B+,8,1009251.0,10092512013.0
1068,"Chateau Les Hauts Conseillants, Lalande De Pomerol",38642,chateau-les-hauts-conseillants-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.62,B,4,,
1069,"Chateau La Tour De Bessan, Margaux",37747,chateau-la-tour-de-bessan-margaux,Margaux,margaux,Red,,['Bordeaux'],France,Cru Bourgeois,2005,2018-03-29,False,85.59,B,3,,
1070,"Chateau Mazeyres, Pomerol",39246,chateau-mazeyres-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.59,A,10,1013137.0,10131372013.0
1071,"Chateau Pey La Tour, Reserve Du Chateau, Bordeaux Superieur",39931,chateau-pey-la-tour-reserve-du-chateau-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2008,2018-03-29,False,85.59,A,3,,
1072,"Chateau Belgrave, Haut Medoc",32473,chateau-belgrave-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,5eme Grand Cru classé en 1855,2007,2018-03-29,False,85.59,B,8,1006739.0,10067392007.0
1073,"Chateau Reysson, Haut Medoc",40409,chateau-reysson-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.59,B+,9,,
1074,"Chateau Branda, Puisseguin Saint Emilion",32794,chateau-branda-puisseguin-saint-emilion,Puisseguin Saint Emilion,puisseguin-saint-emilion,Red,,['Bordeaux'],France,,2015,2018-03-29,False,85.59,B+,3,,
1075,"Chateau Coufran, Haut Medoc",33417,chateau-coufran-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.58,B+,13,,
1076,"Chateau Cantin, Saint Emilion",33027,chateau-cantin-saint-emilion,Saint Emilion,saint-emilion,Red,,['Bordeaux'],France,,2012,2018-03-29,False,85.58,B+,6,,
1077,"Chateau Soutard, Saint Emilion Grand Cru",40970,chateau-soutard-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Grand Cru classé,1978,2018-03-29,False,85.56,C+,4,1015346.0,10153461978.0
1078,"Chateau D'Issan, Blason D'Issan, Margaux",12596,chateau-dissan-blason-dissan-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.56,C+,5,1007130.0,10071302013.0
1079,"Chateau Haut Bertinerie, Blaye Cotes De Bordeaux",36395,chateau-haut-bertinerie-blaye-cotes-de-bordeaux,Blaye Cotes De Bordeaux,blaye-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2009,2018-03-29,False,85.56,C,3,,
1080,"Chateau La Pointe, Pomerol",37601,chateau-la-pointe-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2003,2018-03-29,False,85.56,C,6,1014280.0,10142802003.0
1081,"Vignobles Meyre, Chateau Cap Leon Veyrin, Listrac Medoc",140123,vignobles-meyre-chateau-cap-leon-veyrin-listrac-medoc,Listrac Medoc,listrac-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2011,2018-03-29,False,85.55,C+,6,,
1082,"Vignobles Andre Lurton, Chateau Bonnet, Blanc, Entre Deux Mers",139894,vignobles-andre-lurton-chateau-bonnet-blanc-entre-deux-mers,Entre Deux Mers,entre-deux-mers,White,dry,['Bordeaux'],France,,2015,2018-03-29,False,85.55,A,4,,
1083,"Chateau Ferriere, Margaux",35667,chateau-ferriere-margaux,Margaux,margaux,Red,,['Bordeaux'],France,3eme Grand Cru classé en 1855,2013,2018-03-29,False,85.55,A,18,1009727.0,10097272013.0
1084,"Chateau De Carolle, Graves",33912,chateau-de-carolle-graves,Graves,graves,Red,,['Bordeaux'],France,,2005,2018-03-29,False,85.53,A+,3,,
1085,"Chateau Cantenac Brown, Brio, Margaux",33018,chateau-cantenac-brown-brio-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2012,2018-03-29,False,85.53,B,5,,
1086,"Vignobles Jean Sorge, Chateau Deyrem Valentin, Margaux",140073,vignobles-jean-sorge-chateau-deyrem-valentin-margaux,Margaux,margaux,Red,,['Bordeaux'],France,Cru Bourgeois,2013,2018-03-29,False,85.52,B,3,,
1087,"Vignobles Bessineau, Chateau Cote Montpezat, Castillon Cotes De Bordeaux",33395,vignobles-bessineau-chateau-cote-montpezat-castillon-cotes-de-bordeaux,Castillon Cotes De Bordeaux,castillon-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2012,2018-03-29,False,85.52,B+,9,,
1088,"Chateau L'Isle Fort, Bordeaux Superieur",36995,chateau-lisle-fort-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.52,A+,6,,
1089,"Chateau De Chantegrive, Graves",33979,chateau-de-chantegrive-graves,Graves,graves,Red,,['Bordeaux'],France,,2005,2018-03-29,False,85.51,B,7,,
1090,"Chateau Senejac, Haut Medoc",40875,chateau-senejac-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2006,2018-03-29,False,85.51,B+,6,1015173.0,10151732006.0
1091,"Chateau Haut Bages Monpelou, Pauillac",36355,chateau-haut-bages-monpelou-pauillac,Pauillac,pauillac,Red,,['Bordeaux'],France,Cru Bourgeois,2013,2018-03-29,False,85.5,A,5,1011188.0,10111882013.0
1092,"Vignobles Andre Lurton, Chateau Bonnet, Blanc, Entre Deux Mers",139894,vignobles-andre-lurton-chateau-bonnet-blanc-entre-deux-mers,Entre Deux Mers,entre-deux-mers,White,dry,['Bordeaux'],France,,2014,2018-03-29,False,85.5,A+,5,,
1093,"Chateau Rauzan Segla, Cuvee Segla, Margaux",40350,chateau-rauzan-segla-cuvee-segla-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.49,B+,5,,
1094,"Chateau Du Tertre, Margaux",35509,chateau-du-tertre-margaux,Margaux,margaux,Red,,['Bordeaux'],France,5eme Grand Cru classé en 1855,2007,2018-03-29,False,85.49,A,11,1015391.0,10153912007.0
1095,"Chateau Caronne Ste Gemme, Haut Medoc",33093,chateau-caronne-ste-gemme-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.49,A,4,1007824.0,10078242011.0
1096,"Chateau Haut Bertinerie, Blaye Cotes De Bordeaux",36395,chateau-haut-bertinerie-blaye-cotes-de-bordeaux,Blaye Cotes De Bordeaux,blaye-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2014,2018-03-29,False,85.49,B,6,,
1097,"Vignobles Andre Lurton, Chateau Bonnet, Blanc, Entre Deux Mers",139894,vignobles-andre-lurton-chateau-bonnet-blanc-entre-deux-mers,Entre Deux Mers,entre-deux-mers,White,dry,['Bordeaux'],France,,2012,2018-03-29,False,85.48,B,3,,
1098,"Chateau Gree Laroque, Bordeaux Superieur",36256,chateau-gree-laroque-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2004,2018-03-29,False,85.48,A,5,1222678.0,12226782004.0
1099,"Chateau Clauzet, Saint Estephe",33277,chateau-clauzet-saint-estephe,Saint Estephe,saint-estephe,Red,,['Bordeaux'],France,Cru Bourgeois,2012,2018-03-29,False,85.48,C+,12,,
1100,"Chateau Vieux Maillet, Pomerol",41675,chateau-vieux-maillet-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.47,C,8,,
1101,"Chateau Tour Des Termes, Saint Estephe",41399,chateau-tour-des-termes-saint-estephe,Saint Estephe,saint-estephe,Red,,['Bordeaux'],France,Cru Bourgeois,2011,2018-03-29,False,85.47,B+,9,,
1102,"Chateau Lestage Simon, Haut Medoc",38778,chateau-lestage-simon-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2012,2018-03-29,False,85.47,A,10,,
1103,"Chateau De Portets, Graves",34747,chateau-de-portets-graves,Graves,graves,Red,,['Bordeaux'],France,,2012,2018-03-29,False,85.47,A+,4,,
1104,"Chateau Tour Des Termes, Saint Estephe",41399,chateau-tour-des-termes-saint-estephe,Saint Estephe,saint-estephe,Red,,['Bordeaux'],France,Cru Bourgeois,2012,2018-03-29,False,85.47,A,12,,
1105,"Chateau Clos des Prince, Saint Emilion Grand Cru",147319,chateau-clos-des-princes-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.46,A,3,,
1106,"Domaine De Courteillac, Bordeaux Superieur",54138,domaine-de-courteillac-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.46,B,9,,
1107,"Chateau Hostens-Picant, Cuvee Des Demoiselles, Blanc, Sainte-Foy-Bordeaux",36776,chateau-hostens-picant-cuvee-des-demoiselles-blanc-sainte-foy-bordeaux,Sainte-Foy-Bordeaux,sainte-foy-bordeaux,White,dry,['Bordeaux'],France,,2005,2018-03-29,False,85.45,A,4,,
1108,"Chateau Charmail, Haut Medoc",33210,chateau-charmail-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2013,2018-03-29,False,85.45,A,10,1008036.0,10080362013.0
1109,"Chateau Nenin, La Fugue, Pomerol",39683,chateau-nenin-la-fugue-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2008,2018-03-29,False,85.45,B,10,1010426.0,10104262008.0
1110,"Chateau Cantenac, Saint Emilion Grand Cru",33022,chateau-cantenac-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2012,2018-03-29,False,85.44,B+,3,,
1111,"Chateau De Chantegrive, Graves",33979,chateau-de-chantegrive-graves,Graves,graves,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.43,A,15,,
1112,"Chateau St Jean De Lavaud, Lalande De Pomerol",40981,chateau-st-jean-de-lavaud-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2014,2018-03-29,False,85.43,B,7,,
1113,"Chateau Ramafort, Medoc",40335,chateau-ramafort-medoc,Medoc,medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2005,2018-03-29,False,85.43,C+,5,,
1114,"Chateau Du Cartillon, Haut Medoc",35295,chateau-du-cartillon-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2012,2018-03-29,False,85.43,A+,6,,
1115,"Chateau De Braude, Haut Medoc",33837,chateau-de-braude-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2005,2018-03-29,False,85.43,B+,4,,
1116,"Chateau De Viaud, Lalande De Pomerol",35001,chateau-de-viaud-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2014,2018-03-29,False,85.42,C+,6,,
1117,"Chateau Belle Coline, Blaye Cotes De Bordeaux",32476,chateau-belle-coline-blaye-cotes-de-bordeaux,Blaye Cotes De Bordeaux,blaye-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2012,2018-03-29,False,85.42,A+,10,,
1118,"Chateau Mazeyres, Pomerol",39246,chateau-mazeyres-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2009,2018-03-29,False,85.42,C,9,1013137.0,10131372009.0
1119,"Chateau Filhot, Blanc, Sauternes",35688,chateau-filhot-blanc-sauternes,Sauternes,sauternes,White,sweet,['Bordeaux'],France,2eme Grand Cru classé en 1855,2007,2018-03-29,False,85.41,C+,10,1016949.0,10169492007.0
1120,"Chateau Chasse Spleen, Moulis En Medoc",33220,chateau-chasse-spleen-moulis-en-medoc,Moulis En Medoc,moulis-en-medoc,Red,,['Bordeaux'],France,,2006,2018-03-29,False,85.41,B,7,1008052.0,10080522006.0
1121,"Chateau Gruaud Larose, Sarget De Gruaud Larose, Saint Julien",36282,chateau-gruaud-larose-sarget-de-gruaud-larose-saint-julien,Saint Julien,saint-julien,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.4,B,3,1015030.0,10150302013.0
1122,"Chateau D'Arcins, Haut Medoc",33583,chateau-darcins-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2011,2018-03-29,False,85.39,B,5,,
1123,"Chateau Le Pin Beausoleil, Bordeaux Superieur",38394,chateau-le-pin-beausoleil-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2006,2018-03-29,False,85.38,B+,4,1014206.0,10142062006.0
1124,"Chateau Jean De Gue, Lalande De Pomerol",36813,chateau-jean-de-gue-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.38,A+,6,,
1125,"Chateau Penin, Les Cailloux, Bordeaux Superieur",39848,chateau-penin-les-cailloux-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.38,B+,3,,
1126,"Domaine De Courteillac, Bordeaux Superieur",54138,domaine-de-courteillac-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.37,A+,6,,
1127,"Manoir De Gay, Pomerol",101352,manoir-de-gay-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.37,B,11,,
1128,"Chateau Mayne Lalande, Listrac Medoc",39222,chateau-mayne-lalande-listrac-medoc,Listrac Medoc,listrac-medoc,Red,,['Bordeaux'],France,,2008,2018-03-29,False,85.36,A,3,,
1129,"Chateau Hostens-Picant, Cuvee Des Demoiselles, Blanc, Sainte-Foy-Bordeaux",36776,chateau-hostens-picant-cuvee-des-demoiselles-blanc-sainte-foy-bordeaux,Sainte-Foy-Bordeaux,sainte-foy-bordeaux,White,dry,['Bordeaux'],France,,2010,2018-03-29,False,85.35,B+,4,,
1130,"Chateau Pey La Tour, Reserve Du Chateau, Bordeaux Superieur",39931,chateau-pey-la-tour-reserve-du-chateau-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2009,2018-03-29,False,85.34,A+,6,,
1131,"Chateau Haut Chaigneau, Lalande De Pomerol",36439,chateau-haut-chaigneau-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.33,C+,3,,
1132,"Chateau Haut Breton Larigaudiere, Margaux",36414,chateau-haut-breton-larigaudiere-margaux,Margaux,margaux,Red,,['Bordeaux'],France,Cru Bourgeois,2011,2018-03-29,False,85.32,C+,6,,
1133,"Bouchard Pere et Fils, Beaune du Chateau, Beaune Premier Cru",147546,bouchard-pere-et-fils-beaune-du-chateau-beaune-premier-cru,Beaune Premier Cru,beaune-premier-cru,Red,,['Bourgogne'],France,,2014,2018-03-29,False,85.32,B+,3,,
1134,"Chateau Fourcas Dupre, Listrac Medoc",35840,chateau-fourcas-dupre-listrac-medoc,Listrac Medoc,listrac-medoc,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.32,B,13,1010325.0,10103252011.0
1135,"Chateau Lamothe-Cissac, Haut Medoc",38036,chateau-lamothe-cissac-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2010,2018-03-29,False,85.31,A,3,,
1136,"Chateau Siran, Margaux",40925,chateau-siran-margaux,Margaux,margaux,Red,,['Bordeaux'],France,,2007,2018-03-29,False,85.31,B,8,1015245.0,10152452007.0
1137,"Chateau Ferrande, Graves",35665,chateau-ferrande-graves,Graves,graves,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.3,B,10,,
1138,"Chateau Nenin, La Fugue, Pomerol",39683,chateau-nenin-la-fugue-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.3,B+,12,1010426.0,10104262013.0
1139,"Chateau Clement Pichon, Haut Medoc",33279,chateau-clement-pichon-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,Cru Bourgeois,2007,2018-03-29,False,85.3,B,5,,
1140,"Chateau Paveil De Luze, Margaux",39790,chateau-paveil-de-luze-margaux,Margaux,margaux,Red,,['Bordeaux'],France,Cru Bourgeois,2013,2018-03-29,False,85.29,B,9,,
1141,"Chateau Citran, Haut Medoc",33263,chateau-citran-haut-medoc,Haut Medoc,haut-medoc,Red,,['Bordeaux'],France,,2012,2018-03-29,False,85.29,B,15,1008137.0,10081372012.0
1142,"Chateau Picard, Saint Estephe",40007,chateau-picard-saint-estephe,Saint Estephe,saint-estephe,Red,,['Bordeaux'],France,Cru Bourgeois,2006,2018-03-29,False,85.28,B+,3,,
1143,"Chateau Belair-Monange, Saint Emilion Grand Cru",32470,chateau-belair-monange-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,Premier Grand Cru classé B,2007,2018-03-29,False,85.28,B,8,1006700.0,10067002007.0
1144,"Chateau La Tour De By, Medoc",37752,chateau-la-tour-de-by-medoc,Medoc,medoc,Red,,['Bordeaux'],France,,2012,2018-03-29,False,85.26,A,12,1015522.0,10155222012.0
1145,"Chateau Beau Soleil, Pomerol",32323,chateau-beau-soleil-pomerol,Pomerol,pomerol,Red,,['Bordeaux'],France,,2008,2018-03-29,False,85.26,C+,5,,
1146,"Chateau Boutisse, Saint Emilion Grand Cru",32777,chateau-boutisse-saint-emilion-grand-cru,Saint Emilion Grand Cru,saint-emilion-grand-cru,Red,,['Bordeaux'],France,,2007,2018-03-29,False,85.26,B,3,,
1147,"Chateau De Francs, Les Cerisiers, Francs Cotes De Bordeaux",34098,chateau-de-francs-les-cerisiers-francs-cotes-de-bordeaux,Francs Cotes De Bordeaux,francs-cotes-de-bordeaux,Red,,['Bordeaux'],France,,2013,2018-03-29,False,85.25,B,5,,
1148,"Chateau Thieuley, Bordeaux",41253,chateau-thieuley-bordeaux,Bordeaux,bordeaux,Red,,['Bordeaux'],France,,2010,2018-03-29,False,85.25,C+,8,,
1149,"Jean Philippe Janoueix, Chateau Croix Mouton, Bordeaux Superieur",87870,jean-philippe-janoueix-chateau-croix-mouton-bordeaux-superieur,Bordeaux Superieur,bordeaux-superieur,Red,,['Bordeaux'],France,,2011,2018-03-29,False,85.25,B,6,1009062.0,10090622011.0
1150,"Chateau Clos Chaumont, Bordeaux",33291,chateau-clos-chaumont-bordeaux,Bordeaux,bordeaux,Red,,['Bordeaux'],France,,2010,2018-03-29,False,85.24,B,5,,
1151,"Chateau Grand Ormeau, Lalande De Pomerol",36153,chateau-grand-ormeau-lalande-de-pomerol,Lalande De Pomerol,lalande-de-pomerol,Red,,['Bordeaux'],France,,2014,2018-03-29,False,85.24,A,5,,
